"neo","pha","sats","e","a","i","om","w","moid_jup"
"Y","N",0,0.6037,1.443,25.92,37.14,158,2.68
"Y","N",0,0.4422,1.468,16,260.75,334.4,2.93
"N","N",0,0.3658,2.295,20.77,292.65,91.38,2.79
"N","N",0,0.1823,1.798,48.24,126.76,11.87,2.97
"Y","N",0,0.2727,1.751,24.52,169.16,221.26,3.31
"N","N",0,0.2893,2.008,41.96,152.36,53.53,2.66
"Y","Y",0,0.8591,2.2,17.52,260.15,243.25,1.61
"Y","N",0,0.674,2.37,10.65,113.56,36.77,1.14
"Y","N",0,0.5534,1.387,9.27,333.48,203.22,2.83
"Y","N",0,0.6367,2.216,29.45,269.76,287.22,2.4
"Y","N",0,0.5541,2.731,5.57,305.7,21.32,1.14
"N","N",0,0.3155,2.367,22.14,192.04,298.93,2.22
"N","N",0,0.4413,2.74,44.35,274.15,175.01,1.3
"Y","N",0,0.3587,1.19,9.58,355.88,202.43,3.35
"N","N",0,0.3261,2.371,21.59,161.85,251.91,2.63
"N","N",0,0.2721,2.287,22.61,180.31,56.89,2.26
"N","N",0,0.3525,2.324,25.44,85.63,303.89,2.54
"N","N",0,0.3113,2.393,3.08,240.66,102.07,2.29
"Y","N",0,0.512,2.443,4.22,109.17,234.94,1.73
"Y","N",0,0.3676,1.881,0.81,59.54,319.25,2.89
"Y","N",0,0.511,2.426,17.83,338.42,100.76,2.08
"N","N",0,0.298,2.338,21.16,330.27,252.25,2.31
"N","N",0,0.2615,2.253,2.02,133.06,259.55,2.6
"N","N",0,0.2524,2.209,4.28,330.82,344.65,2.53
